Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
1,CSE2001 ,Computer Architecture and Organization,Dr. jot,1,3,3,2,2
2,CSE3501,Information Security Analysis and Audit,Dr. shoiba,1,4,2,4,4
3,CSE2006 ,Microprocessor and Interfacing,Dr. chootu,4,4,1,4,4
4,MAT1014,Discrete Mathematics and Graph Theory,Dr. foolwati,3,4,2,1,3
5,CSE3018 ,Content Based Image and Video Retrieval,Dr. bahalen,5,2,2,1,3
6,CSE3001 ,Software Engineering,Dr. marzina,1,1,0,4,2
7,CSE2004 ,Database Management Systems,Dr. ramgopal,4,1,1,2,5
8,CSE3505,Foundations of Data Analytics,Dr. bhawna,2,2,1,2,3
9,CSE4004 ,Digital Forensics,Dr. jaidev,2,3,0,3,2
10,MAT3004 ,Applied Linear Algebra,Dr. sonal,4,4,1,5,2
11,CSE2001 ,Computer Architecture and Organization,Dr. minaksi,2,5,4,2,4
12,CSE3021 ,Social and Information Networks,Dr. gulsha,1,3,0,4,4
13,CSE4015 ,Human Computer Interaction,Dr. vishva,5,2,1,5,4
14,CSE3024 ,Web Mining,Dr. jai,5,1,0,3,2
15,CSE3506,Essentials of Data Analytics,Dr. murjina,5,5,1,1,2
16,CSE4001 ,Parallel and Distributed Computing,Dr. gulista,2,1,2,1,5
17,CSE4001 ,Parallel and Distributed Computing,Dr. bishana,5,2,0,3,4
18,CSE2001 ,Computer Architecture and Organization,Dr. ameen,5,3,1,4,2
19,CSE3013 ,Artificial Intelligence,Dr. nikhil,2,1,1,2,4
20,CSE3505,Foundations of Data Analytics,Dr. aravind,5,4,3,4,3
21,CSE3009 ,Internet of Things,Dr. angan,2,4,3,3,5
22,CSE3024 ,Web Mining,Dr. shishram,3,2,0,2,4
23,CSE3013 ,Artificial Intelligence,Dr. veero,3,4,1,3,3
24,MAT1014,Discrete Mathematics and Graph Theory,Dr. bhotra,4,1,2,1,3
25,CSE1003 ,Digital Logic and Design,Dr. ajmer,3,3,2,1,3
26,MAT2002,Applications of Differential and Difference Equations,Dr. asfaq,4,2,2,3,4
27,MAT3004 ,Applied Linear Algebra,Dr. pallu,3,2,5,1,5
28,CSE3011 ,Robotics and its Applications,Dr. yaman,5,5,1,3,2
29,CSE3020 ,Data Visualization,Dr. juli,2,4,1,2,5
30,CSE4019 ,Image Processing,Dr. aayesha,1,2,1,3,2
31,MAT1014,Discrete Mathematics and Graph Theory,Dr. shaswat,3,5,1,5,2
32,CSE2004 ,Database Management Systems,Dr. shekher,4,5,2,5,5
33,CSE2004 ,Database Management Systems,Dr. keshram,2,4,4,3,3
34,CSE1007 ,Java Programming,Dr. aayesha,4,4,0,3,5
35,CSE4001 ,Parallel and Distributed Computing,Dr. saddiq,3,3,2,1,2
36,CSE3501,Information Security Analysis and Audit,Dr. sen,5,4,3,1,5
37,MAT2002,Applications of Differential and Difference Equations,Dr. nagender,4,1,2,3,3
38,CSE2023,Robotic Process Automation,Dr. trlokchand,2,5,0,3,5
39,CSE4003 ,Cyber Security,Dr. hom,4,1,5,1,5
40,CSE3025 ,Large Scale Data Processing,Dr. sarafat,2,2,3,5,4
41,CSE3502,Information Security Management,Dr. sayari,1,5,1,3,3
42,CSE2011 ,Data Structures and Algorithms,Dr. manjoo,5,4,1,2,4
43,CSE3002 ,Internet and Web Programming,Dr. jakir,2,3,2,5,4
44,CSE4001 ,Parallel and Distributed Computing,Dr. ritu,1,1,1,1,5
45,MAT3004 ,Applied Linear Algebra,Dr. neela,1,4,4,2,5
46,CSE4001 ,Parallel and Distributed Computing,Dr. dhaney,3,4,3,5,4
47,CSE3011 ,Robotics and its Applications,Dr. puspha,4,1,0,4,3
48,CSE3024 ,Web Mining,Dr. reetima,4,2,2,5,5
49,CSE3011 ,Robotics and its Applications,Dr. aarti,2,1,3,2,3
50,CSE3018 ,Content Based Image and Video Retrieval,Dr. reshami,3,4,4,2,3
51,CSE4003 ,Cyber Security,Dr. ranni,4,4,1,2,4
52,CSE3001 ,Software Engineering,Dr. subhiya,3,1,2,1,2
53,CSE2012,Design and analysis of algorithms,Dr. anwar,3,1,1,3,5
54,CSE1007 ,Java Programming,Dr. rahul,3,2,3,1,3
55,MAT1014,Discrete Mathematics and Graph Theory,Dr. bigan,3,4,4,5,5
56,CSE3006 ,Embedded System Design,Dr. sushmita,5,1,2,4,3
57,CSE4011 ,Virtualization,Dr. puskar,2,1,2,1,5
58,CSE4011 ,Virtualization,Dr. kmles,2,1,0,2,2
59,CSE3021 ,Social and Information Networks,Dr. satwinder,1,3,6,2,5
60,MAT3004 ,Applied Linear Algebra,Dr. sobi,3,2,1,3,4
61,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. emilia,1,1,3,2,3
62,CSE4014 ,High Performance Computing,Dr. rajeena,1,4,0,4,5
63,CSE4015 ,Human Computer Interaction,Dr. alam,2,1,3,2,3
64,CSE4014 ,High Performance Computing,Dr. shardanand,4,1,2,5,2
65,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. nadim,5,5,3,5,5
66,ECE3502,IoT Domain Analyst,Dr. prashant,4,2,3,4,5
67,ECE3501,IoT Fundamentals,Dr. dwarka,5,3,2,2,3
68,CSE3029 ,Game Programming,Dr. gul,2,3,5,3,4
69,CSE3006 ,Embedded System Design,Dr. chettan,3,2,1,3,2
70,CSE4004 ,Digital Forensics,Dr. aishwarya,1,2,4,4,5
71,CSE1007 ,Java Programming,Dr. jhuhi,3,1,5,5,5
72,CSE3025 ,Large Scale Data Processing,Dr. najar,1,1,1,4,2
73,CSE3506,Essentials of Data Analytics,Dr. babar,4,2,1,3,2
74,CSE3025 ,Large Scale Data Processing,Dr. bhuvneshwar,1,5,1,1,4
75,CSE4004 ,Digital Forensics,Dr. mursida,5,2,4,5,4
76,CSE2011 ,Data Structures and Algorithms,Dr. shayra,5,2,1,3,4
77,MAT2002,Applications of Differential and Difference Equations,Dr. prabhjot,4,3,1,1,3
78,CSE3020 ,Data Visualization,Dr. dhuruv,1,5,0,4,2
79,CSE4015 ,Human Computer Interaction,Dr. shahabuddin,3,3,2,3,5
80,CSE4001 ,Parallel and Distributed Computing,Dr. amiraka,2,4,0,3,3
81,CSE2005 ,Operating Systems,Dr. lllllllllllllllllll,1,1,5,2,5
82,CSE3002 ,Internet and Web Programming,Dr. bhrkat,4,1,2,1,2
83,CSE4022 ,Natural Language Processing,Dr. ambiya,2,5,1,3,4
84,CSE2014,Compiler Design,Dr. begam,4,5,2,3,3
85,CSE4003 ,Cyber Security,Dr. samadhan,2,1,3,3,4
86,CSE1007 ,Java Programming,Dr. shaili,2,5,1,1,5
87,CSE2006 ,Microprocessor and Interfacing,Dr. asiya,2,4,2,3,2
88,CSE3505,Foundations of Data Analytics,Dr. jalaluddin,3,1,0,5,3
89,CSE3001 ,Software Engineering,Dr. rajuddin,3,2,2,4,3
90,CSE2023,Robotic Process Automation,Dr. bhagwan,1,5,1,2,2
91,MAT2002,Applications of Differential and Difference Equations,Dr. monupal,3,1,2,4,5
92,CSE1007 ,Java Programming,Dr. kanwar,5,3,3,3,4
93,CSE3029 ,Game Programming,Dr. faujdar,1,1,0,1,4
94,CSE2001 ,Computer Architecture and Organization,Dr. subani,1,3,1,2,3
95,CSE2023,Robotic Process Automation,Dr. alma,4,3,2,1,3
96,CSE4015 ,Human Computer Interaction,Dr. saima,2,4,1,5,3
97,CSE4014 ,High Performance Computing,Dr. rameshwer,2,2,0,1,2
98,CSE3025 ,Large Scale Data Processing,Dr. shahbuddin,2,3,4,1,4
99,CSE2005 ,Operating Systems,Dr. hazra,1,2,1,3,2
100,CSE1004 ,Network and Communication,Dr. balraj,2,2,1,3,4
101,CSE3018 ,Content Based Image and Video Retrieval,Dr. chhanoyar,5,4,2,4,2
102,CSE4020 ,Machine Learning,Dr. vikash,2,5,3,3,4
103,CSE2006 ,Microprocessor and Interfacing,Dr. mathura,5,3,1,1,2
104,CSE3506,Essentials of Data Analytics,Dr. kumara,5,3,1,1,3
105,CSE3013 ,Artificial Intelligence,Dr. bhanvar,2,5,1,4,2
106,MAT1014,Discrete Mathematics and Graph Theory,Dr. sadip,5,3,0,1,5
