Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
1,CSE4028 ,Object Oriented Software Development,Dr. Venkat amit,1.34394439,3.472838968,3.153352827,1.687538098,2
2,CSE4014 ,High Performance Computing,Dr. Thomas James,3.51187003,4.823008459,1.535335696,2.553631367,4
3,CSE2004 ,Database Management Systems,Dr. Rajiv Vehari,2.310638909,3.963758842,1.658935137,4.010973794,4
4,CSE2013 ,Theory of Computation,Dr. YS Jagan,2.665362931,1.709824377,1.92374532,1.000518123,3
5,CSE3009,Internet of Things,Dr. Alok nath,3.750513298,3.629781196,1.748641047,2.627959137,3
6,CSE4027,Mobile Programming,Dr. Rajesh Khanna,2.884766611,3.599490029,3.090988886,3.037652407,3
7,CSE1001,Problem Solving and Programming,Dr. Bhuvan kumar,3.132288802,1.466653863,3.280051447,2.731803301,2
8,CSE1004,Network and Communication,Dr. Anasuya,4.817318908,3.07419311,2.723599636,1.327748537,3
9,CSE2006,Microprocessor and Interfacing,Dr. Rajakumar,1.883822582,4.263797159,2.945221127,1.083393773,4
10,CSE3035,Principles of Cloud Computing,Dr. Mani Ratnam,2.133886529,2.283789138,2.817725592,4.265798036,4
